open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1875.22,1875.63,1872.16,1872.7,0,0,0,0,0.7156701070242293,LONDON,8,0.0527478031233979,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1872.7,1873.65,1870.44,1871.71,0,0,0,0,0.7156701070242293,LONDON,8,0.0527478031233979,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1874.98,1876.79,1874.66,1876.49,0,0,0,0,0.9680598549458113,ASIA,2,0.2868660846334005,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1876.49,1877.94,1876.3,1877.73,0,0,0,0,0.9680598549458113,ASIA,2,0.2868660846334005,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1877.74,1877.92,1876.95,1877.21,0,0,0,0,0.9680598549458113,ASIA,2,0.2868660846334005,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1877.24,1878.19,1876.99,1877.88,0,0,0,0,0.9680598549458113,ASIA,2,0.2868660846334005,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1877.88,1880.48,1877.45,1879.93,0,0,0,0,0.8251708134000969,ASIA,3,0.741334834201063,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1879.94,1884.58,1879.89,1882.24,0,0,0,0,0.8251708134000969,ASIA,3,0.741334834201063,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1882.23,1883.78,1882.14,1883.29,0,0,0,0,0.8251708134000969,ASIA,3,0.741334834201063,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1883.3,1883.94,1880.59,1880.75,0,0,0,0,0.8251708134000969,ASIA,3,0.741334834201063,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1884.81,1886.03,1884.27,1884.52,0,0,0,0,0.6482054797117001,LONDON,6,0.17531426372493483,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1884.52,1884.59,1882.91,1883.04,0,0,0,0,0.6482054797117001,LONDON,6,0.17531426372493483,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1883.04,1883.31,1875.78,1877.96,0,0,0,0,0.6482054797117001,LONDON,6,0.17531426372493483,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1878.0,1878.4,1875.98,1877.21,0,0,0,0,0.6482054797117001,LONDON,6,0.17531426372493483,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1887.45,1891.01,1886.8,1886.8,0,0,0,1,0.873261584543725,NY,1,0.23648718746755037,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1886.86,1901.59,1870.52,1899.58,0,0,0,1,0.873261584543725,NY,1,0.23648718746755037,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1899.7,1901.35,1887.86,1892.15,0,0,0,1,0.873261584543725,NY,1,0.23648718746755037,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1892.2,1894.64,1879.84,1882.42,0,0,0,1,0.873261584543725,NY,1,0.23648718746755037,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1898.92,1899.55,1896.57,1896.68,0,0,0,2,0.9030685166539609,NY_PM,3,2.196203816483905,day_anchor_std,ny_rollover_17,0,0,0,0,1,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
