open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_compression,LOOK_FOR_transition_inventory_reset,LOOK_FOR_transition_initiative,LOOK_FOR_trend_orderly_pullback_asia,LOOK_FOR_trend_orderly_pullback_west,LOOK_FOR_trend_overextended,quality_label,quality_label_full,base_state
4741.95,4742.95,4737.45,4739.45,0,0,0,2,0.7686381736174429,ASIA,6,0.5186746987951473,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4739.75,4739.95,4735.75,4735.75,0,0,0,2,0.7686381736174429,ASIA,6,0.5186746987951473,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4735.75,4738.25,4734.75,4735.75,0,0,0,2,0.7686381736174429,ASIA,6,0.5186746987951473,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4735.45,4739.95,4735.25,4737.05,0,0,0,2,0.7686381736174429,ASIA,6,0.5186746987951473,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4737.25,4738.3,4733.0,4733.3,0,0,0,1,0.1747296601944776,LONDON,1,1.1624192601292032,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4733.5,4733.65,4731.25,4732.95,0,0,0,1,0.1747296601944776,LONDON,1,1.1624192601292032,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4733.05,4733.05,4727.75,4728.45,0,0,0,1,0.1747296601944776,LONDON,1,1.1624192601292032,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4728.45,4729.75,4726.25,4727.25,0,0,0,1,0.1747296601944776,LONDON,1,1.1624192601292032,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4726.95,4731.75,4725.75,4731.25,0,0,0,2,0.9089781232549791,LONDON,1,1.6159023170849474,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4730.95,4732.75,4725.95,4726.45,0,0,0,2,0.9089781232549791,LONDON,1,1.6159023170849474,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4726.45,4727.95,4722.25,4724.05,0,0,0,2,0.9089781232549791,LONDON,1,1.6159023170849474,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4724.55,4725.25,4715.9,4719.15,0,0,0,2,0.9089781232549791,LONDON,1,1.6159023170849474,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4719.25,4729.25,4711.75,4714.35,0,0,0,2,0.9265517772934471,LONDON,2,2.165321746327342,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4714.35,4715.95,4706.45,4713.25,0,0,0,2,0.9265517772934471,LONDON,2,2.165321746327342,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4713.25,4718.55,4713.25,4716.45,0,0,0,2,0.9265517772934471,LONDON,2,2.165321746327342,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4716.35,4717.55,4710.55,4711.85,0,0,0,2,0.9265517772934471,LONDON,2,2.165321746327342,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4711.95,4714.95,4708.95,4714.95,0,0,0,2,0.6511644778619187,NY,3,1.2816574979624897,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4714.95,4722.85,4713.45,4722.1,0,0,0,2,0.6511644778619187,NY,3,1.2816574979624897,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4722.05,4726.95,4721.95,4722.75,0,0,0,2,0.6511644778619187,NY,3,1.2816574979624897,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4722.85,4723.55,4717.95,4720.35,0,0,0,2,0.6511644778619187,NY,3,1.2816574979624897,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4720.35,4731.05,4709.05,4728.95,0,0,0,2,0.8250931644284808,NY,4,2.1712123634425575,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4729.1,4731.4,4721.45,4721.65,0,0,0,2,0.8250931644284808,NY,4,2.1712123634425575,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4721.95,4722.25,4709.25,4711.95,0,0,0,2,0.8250931644284808,NY,4,2.1712123634425575,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4711.95,4717.05,4701.05,4706.55,0,0,0,2,0.8250931644284808,NY,4,2.1712123634425575,day_anchor_std,server_midnight,0,0,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
4706.75,4707.75,4704.25,4706.15,0,0,0,1,0.9482961988525475,NY_PM,1,2.0227033714816303,day_anchor_std,server_midnight,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
4706.05,4708.75,4705.55,4708.75,0,0,0,1,0.9482961988525475,NY_PM,1,2.0227033714816303,day_anchor_std,server_midnight,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
4711.15,4712.95,4709.35,4710.15,0,0,0,1,0.9381245676319396,NY_PM,2,1.7805303814272724,day_anchor_std,server_midnight,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
