symbol,episode_id,setup_family,baseline_id,intent_side,entry_ts,horizon_bars,entry_close,mfe_points,mae_points,mfe_bps,mae_bps,mfe_gt_mae,exit_ts,n_window,is_virtual_pair,ooto_tp_bps,ooto_sl_bps,ooto_outcome
USDCLP.mg,205,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-11 16:00:00,16,850.95,18.09999999999991,3.0,212.7034490863142,35.25471531817381,True,2023-08-16 15:00:00,16,False,,,
USDCLP.mg,210,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-17 14:00:00,16,863.8,8.650000000000091,2.8999999999999773,100.13892104653961,33.57258624681613,True,2023-08-18 20:00:00,16,False,,,
USDCLP.mg,212,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-17 21:00:00,16,867.4,5.050000000000068,4.5,58.219967719622645,51.87917915609869,True,2023-08-21 19:00:00,16,False,,,
USDCLP.mg,214,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-21 18:00:00,16,869.55,1.4500000000000455,8.099999999999909,16.675291817607334,93.15163015352665,False,2023-08-23 15:00:00,16,False,,,
USDCLP.mg,216,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-22 20:00:00,16,868.15,1.8999999999999773,15.649999999999977,21.88561884466944,180.26838679951595,False,2023-08-24 17:00:00,16,False,,,
USDCLP.mg,218,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-23 14:00:00,16,869.15,0.8999999999999773,26.399999999999977,10.3549444859918,303.7450382557669,False,2023-08-24 20:00:00,16,False,,,
USDCLP.mg,220,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-24 14:00:00,16,859.95,0.599999999999909,23.0,6.977149834291633,267.45741031455316,False,2023-08-25 20:00:00,16,False,,,
USDCLP.mg,222,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-24 17:00:00,16,856.8,0.20000000000004547,19.84999999999991,2.334267040149924,231.6760037348262,False,2023-08-28 15:00:00,16,False,,,
USDCLP.mg,224,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-25 20:00:00,16,844.25,17.5,1.4500000000000455,207.28457210541902,17.17500740302097,True,2023-08-29 18:00:00,16,False,,,
USDCLP.mg,226,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-29 15:00:00,16,856.05,5.7000000000000455,5.599999999999909,66.58489574207167,65.41673967641971,True,2023-08-30 21:00:00,16,False,,,
USDCLP.mg,228,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-31 17:00:00,16,852.95,5.2999999999999545,8.200000000000045,62.137288234948755,96.13693651445038,False,2023-09-04 15:00:00,16,False,,,
